,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16113072,0.0,0.0,0.0,0.0,0.0,0.0
16113071,0.0,0.0,0.0,0.0,0.0,0.0
16113070,0.0,0.0,0.0,0.0,0.0,0.0
16113069,0.0,0.0,0.0,0.0,0.0,0.0
16113068,0.0,0.0,0.0,0.0,0.0,0.0
16113067,0.0,0.0,0.0,0.0,0.0,0.0
16113066,0.0,0.0,0.0,0.0,0.0,0.0
16113065,0.0,0.0,0.0,0.0,0.0,0.0
16113064,0.0,0.0,0.0,0.0,0.0,0.0
16113063,0.0,0.0,0.0,0.0,0.0,0.0
16113062,0.0,0.0,0.0,0.0,0.0,0.0
16113061,0.0,0.0,0.0,0.0,0.0,0.0
16113060,0.0,0.0,0.0,0.0,0.0,0.0
16113059,0.0,0.0,0.0,0.0,0.0,0.0
16113058,0.0,0.0,0.0,0.0,0.0,0.0
16113057,0.0,0.0,0.0,0.0,0.0,0.0
16113056,0.0,0.0,0.0,0.0,0.0,0.0
16113055,0.0,0.0,0.0,0.0,0.0,0.0
16113054,0.0,0.0,0.0,0.0,0.0,0.0
16113053,0.0,0.0,0.0,0.0,0.0,0.0
16113052,0.0,0.0,0.0,0.0,0.0,0.0
16113051,0.0,0.0,0.0,0.0,0.0,0.0
16113050,0.0,0.0,0.0,0.0,0.0,0.0
16113049,0.0,0.0,0.0,0.0,0.0,0.0
16113048,0.0,0.0,0.0,0.0,0.0,0.0
16113047,0.0,0.0,0.0,0.0,0.0,0.0
16113046,0.0,0.0,0.0,0.0,0.0,0.0
16113045,0.0,0.0,0.0,0.0,0.0,0.0
16113044,0.0,0.0,0.0,0.0,0.0,0.0
16113043,0.0,0.0,0.0,0.0,0.0,0.0
16113042,0.0,0.0,0.0,0.0,0.0,0.0
16113041,0.0,0.0,0.0,0.0,0.0,0.0
16113040,0.0,0.0,0.0,0.0,0.0,0.0
16113039,0.0,0.0,0.0,0.0,0.0,0.0
16113038,0.0,0.0,0.0,0.0,0.0,0.0
16113037,0.0,0.0,0.0,0.0,0.0,0.0
16113036,0.0,0.0,0.0,0.0,0.0,0.0
16113035,0.0,0.0,0.0,0.0,0.0,0.0
16113034,0.0,0.0,0.0,0.0,0.0,0.0
16113033,0.0,0.0,0.0,0.0,0.0,0.0
16113032,0.0,0.0,0.0,0.0,0.0,0.0
16113031,0.0,0.0,0.0,0.0,0.0,0.0
16113030,0.0,0.0,0.0,0.0,0.0,0.0
16113029,0.0,0.0,0.0,0.0,0.0,0.0
16113028,0.0,0.0,0.0,0.0,0.0,0.0
16113027,0.0,0.0,0.0,0.0,0.0,0.0
16113026,0.0,0.0,0.0,0.0,0.0,0.0
16113025,0.0,0.0,0.0,0.0,0.0,0.0
16113024,0.0,0.0,0.0,0.0,0.0,0.0
16113023,0.0,0.0,0.0,0.0,0.0,0.0
16113022,0.0,0.0,0.0,0.0,0.0,0.0
16113021,0.0,0.0,0.0,0.0,0.0,0.0
16113020,0.0,0.0,0.0,0.0,0.0,0.0
16113019,0.0,0.0,0.0,0.0,0.0,0.0
16113018,0.0,0.0,0.0,0.0,0.0,0.0
16113017,0.0,0.0,0.0,0.0,0.0,0.0
16113016,0.0,0.0,0.0,0.0,0.0,0.0
16113015,0.0,0.0,0.0,0.0,0.0,0.0
16113014,0.0,0.0,0.0,0.0,0.0,0.0
