,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16063116,0.0,0.0,0.0,0.0,0.0,0.0
16063115,0.0,0.0,0.0,0.0,0.0,0.0
16063114,0.0,0.0,0.0,0.0,0.0,0.0
16063113,0.0,0.0,0.0,0.0,0.0,0.0
16063112,0.0,0.0,0.0,0.0,0.0,0.0
16063111,0.0,0.0,0.0,0.0,0.0,0.0
16063110,0.0,0.0,0.0,0.0,0.0,0.0
16063109,0.0,0.0,0.0,0.0,0.0,0.0
16063108,0.0,0.0,0.0,0.0,0.0,0.0
16063107,0.0,0.0,0.0,0.0,0.0,0.0
16063106,0.0,0.0,0.0,0.0,0.0,0.0
16063105,0.0,0.0,0.0,0.0,0.0,0.0
16063104,0.0,0.0,0.0,0.0,0.0,0.0
16063103,0.0,0.0,0.0,0.0,0.0,0.0
16063102,0.0,0.0,0.0,0.0,0.0,0.0
16063101,0.0,0.0,0.0,0.0,0.0,0.0
16063100,0.0,0.0,0.0,0.0,0.0,0.0
16063099,0.0,0.0,0.0,0.0,0.0,0.0
16063098,0.0,0.0,0.0,0.0,0.0,0.0
16063097,0.0,0.0,0.0,0.0,0.0,0.0
16063096,0.0,0.0,0.0,0.0,0.0,0.0
16063095,0.0,0.0,0.0,0.0,0.0,0.0
16063094,0.0,0.0,0.0,0.0,0.0,0.0
16063093,0.0,0.0,0.0,0.0,0.0,0.0
16063092,0.0,0.0,0.0,0.0,0.0,0.0
16063091,0.0,0.0,0.0,0.0,0.0,0.0
16063090,0.0,0.0,0.0,0.0,0.0,0.0
16063089,0.0,0.0,0.0,0.0,0.0,0.0
16063088,0.0,0.0,0.0,0.0,0.0,0.0
16063087,0.0,0.0,0.0,0.0,0.0,0.0
16063086,0.0,0.0,0.0,0.0,0.0,0.0
16063085,0.0,0.0,0.0,0.0,0.0,0.0
16063084,0.0,0.0,0.0,0.0,0.0,0.0
16063083,0.0,0.0,0.0,0.0,0.0,0.0
16063082,0.0,0.0,0.0,0.0,0.0,0.0
16063081,0.0,0.0,0.0,0.0,0.0,0.0
16063080,0.0,0.0,0.0,0.0,0.0,0.0
16063079,0.0,0.0,0.0,0.0,0.0,0.0
16063078,0.0,0.0,0.0,0.0,0.0,0.0
16063077,0.0,0.0,0.0,0.0,0.0,0.0
16063076,0.0,0.0,0.0,0.0,0.0,0.0
16063075,0.0,0.0,0.0,0.0,0.0,0.0
16063074,0.0,0.0,0.0,0.0,0.0,0.0
16063073,0.0,0.0,0.0,0.0,0.0,0.0
16063072,0.0,0.0,0.0,0.0,0.0,0.0
16063071,0.0,0.0,0.0,0.0,0.0,0.0
16063070,0.0,0.0,0.0,0.0,0.0,0.0
16063069,0.0,0.0,0.0,0.0,0.0,0.0
16063068,0.0,0.0,0.0,0.0,0.0,0.0
16063067,0.0,0.0,0.0,0.0,0.0,0.0
16063066,0.0,0.0,0.0,0.0,0.0,0.0
16063065,0.0,0.0,0.0,0.0,0.0,0.0
16063064,0.0,0.0,0.0,0.0,0.0,0.0
16063063,0.0,0.0,0.0,0.0,0.0,0.0
16063062,0.0,0.0,0.0,0.0,0.0,0.0
16063061,0.0,0.0,0.0,0.0,0.0,0.0
16063060,0.0,0.0,0.0,0.0,0.0,0.0
16063059,0.0,0.0,0.0,0.0,0.0,0.0
16063058,0.0,0.0,0.0,0.0,0.0,0.0
16063057,0.0,0.0,0.0,0.0,0.0,0.0
16063056,0.0,0.0,0.0,0.0,0.0,0.0
16063055,0.0,0.0,0.0,0.0,0.0,0.0
16063054,0.0,0.0,0.0,0.0,0.0,0.0
16063053,0.0,0.0,0.0,0.0,0.0,0.0
16063052,0.0,0.0,0.0,0.0,0.0,0.0
16063051,0.0,0.0,0.0,0.0,0.0,0.0
16063050,0.0,0.0,0.0,0.0,0.0,0.0
16063049,0.0,0.0,0.0,0.0,0.0,0.0
16063048,0.0,0.0,0.0,0.0,0.0,0.0
16063047,0.0,0.0,0.0,0.0,0.0,0.0
16063046,0.0,0.0,0.0,0.0,0.0,0.0
16063045,0.0,0.0,0.0,0.0,0.0,0.0
16063044,0.0,0.0,0.0,0.0,0.0,0.0
16063043,0.0,0.0,0.0,0.0,0.0,0.0
16063042,0.0,0.0,0.0,0.0,0.0,0.0
16063041,0.0,0.0,0.0,0.0,0.0,0.0
16063040,0.0,0.0,0.0,0.0,0.0,0.0
16063039,0.0,0.0,0.0,0.0,0.0,0.0
16063038,0.0,0.0,0.0,0.0,0.0,0.0
16063037,0.0,0.0,0.0,0.0,0.0,0.0
16063036,0.0,0.0,0.0,0.0,0.0,0.0
16063035,0.0,0.0,0.0,0.0,0.0,0.0
16063034,0.0,0.0,0.0,0.0,0.0,0.0
16063033,0.0,0.0,0.0,0.0,0.0,0.0
16063032,0.0,0.0,0.0,0.0,0.0,0.0
16063031,0.0,0.0,0.0,0.0,0.0,0.0
16063030,0.0,0.0,0.0,0.0,0.0,0.0
16063029,0.0,0.0,0.0,0.0,0.0,0.0
16063028,0.0,0.0,0.0,0.0,0.0,0.0
16063027,0.0,0.0,0.0,0.0,0.0,0.0
16063026,0.0,0.0,0.0,0.0,0.0,0.0
16063025,0.0,0.0,0.0,0.0,0.0,0.0
16063024,0.0,0.0,0.0,0.0,0.0,0.0
16063023,0.0,0.0,0.0,0.0,0.0,0.0
16063022,0.0,0.0,0.0,0.0,0.0,0.0
16063021,0.0,0.0,0.0,0.0,0.0,0.0
16063020,0.0,0.0,0.0,0.0,0.0,0.0
16063019,0.0,0.0,0.0,0.0,0.0,0.0
16063018,0.0,0.0,0.0,0.0,0.0,0.0
16063017,0.0,0.0,0.0,0.0,0.0,0.0
16063016,0.0,0.0,0.0,0.0,0.0,0.0
16063015,0.0,0.0,0.0,0.0,0.0,0.0
16063014,0.0,0.0,0.0,0.0,0.0,0.0
16063013,0.0,0.0,0.0,0.0,0.0,0.0
16063012,0.0,0.0,0.0,0.0,0.0,0.0
16063011,0.0,0.0,0.0,0.0,0.0,0.0
16063010,0.0,0.0,0.0,0.0,0.0,0.0
16063009,0.0,0.0,0.0,0.0,0.0,0.0
