,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
3998,3998,0x0312e0053405bd0070dde1b144f714114aff80d978224078c1ec461b65202828,125,46,0xcb7329e0b62f79634c0e8ead7ce46108564f2f0b,0x90e7a24db5b75892b8129c72478a43540f1b5dc3,4.9333138e+16,21000,10966087327,0x,3916288,21000,,,1,2022-11-27 18:22:59+00:00,16063087,0xf74ad4af0d677451a95a50298ab38303c1e1748c619477527477baa11cd6767a,15433387597.0,1500000000.0,2,10966087327
7948,7948,0xb723d9954b115bc330b2604eddf5602c0c804f0c4c5dc7116a5791d18401c2ba,161,63,0x9e56fd276ef98320e096f3678fccee2b8c6190bf,0xc3f78abf9184256f7aa9849f8dbdc405e174d68a,6000000000000000.0,21000,10732017279,0x,5294114,21000,,,1,2022-11-27 18:16:59+00:00,16063057,0x4828d10bb421e1b3050be32501839b67359d5463f00aae480a4ab3d2578872b5,14088132851.0,1500000000.0,2,10732017279
8032,8032,0xdb85791a9f3058f3b19eac5ad82adbb786c63b694c4253a2f45448396f2d5995,109174,114,0x80c67432656d59144ceff962e8faf8926599bcf8,0x24ea1ada20c69455b1f9b2627dd34b03c4beb475,4990000000000067.0,100000,10324542852,0x,11714979,21000,,,1,2022-11-27 18:16:47+00:00,16063056,0x58b2091a4f27ec5ab8d20bd580ed8459b02fdf6866266654205bd2fb8850d893,180000000000.0,1000000000.0,2,10324542852
10111,10111,0x9a6bac4c3c7c37cb1b311f750a53334b44c7bf907bf29d8a811e11d1ca48bce8,49198,32,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x525649abcc48973170a78341963e9c47e983ead9,4.36946540057544e+17,21000,11097193001,0x,3343954,21000,,,1,2022-11-27 18:13:47+00:00,16063041,0x56650f2b60e7f99de00e4a5371173106a5741b0a04c7f4e23cb96f93dc38cd66,19684046934.0,2500000000.0,2,11097193001
11017,11017,0xae7c33f16d87ea674561d73a4874637ee4186afec6e91920bffd8d106711d861,6545,1,0xf51cd688b8744b1bfd2fba70d050de85ec4fb9fb,0x455df653ac689ec3b32491a5a60a2d14c5f9099d,1.33e+17,210000,31000000000,0x,42000,21000,,,1,2022-11-27 18:12:35+00:00,16063035,0xdb1a449ea1c6a65e221e4734832e00deeb52809a9676677165f570d46ffdb9c1,,,0,31000000000
11135,11135,0x788d82836bec925f61ad6b26ff699c053d1810e79381f7cd24ad9085a94c85f9,426,68,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0.0,46040,10970085199,0x,6174589,21000,,,1,2022-11-27 18:12:23+00:00,16063034,0x4f99e28ff8c7b8bdc7cd9a5c0a791a81326e59d1240eb93e653d765560201a5f,15583827994.0,1650000000.0,2,10970085199
11191,11191,0xd5b7008478302a01fb2c7059680ad8a19ef5b2a064ca942aeed4afc039fcdea5,425,67,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0.0,125464,10970085199,0x,6153589,21000,,,1,2022-11-27 18:12:23+00:00,16063034,0x4f99e28ff8c7b8bdc7cd9a5c0a791a81326e59d1240eb93e653d765560201a5f,14046912704.0,1650000000.0,2,10970085199
11222,11222,0x198399e6518bddb699083f63c655f41b79f5d329d565d18ce6788b02ff6d7cea,427,69,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0.0,125464,10820085199,0x,6195589,21000,,,1,2022-11-27 18:12:23+00:00,16063034,0x4f99e28ff8c7b8bdc7cd9a5c0a791a81326e59d1240eb93e653d765560201a5f,22000000000.0,1500000000.0,2,10820085199
11230,11230,0x02ec73cf3aaf4976efc350adf7bcfe11bc21dd314e95394359dcc02901f4c23f,424,66,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0.0,125444,10970085199,0x,6132589,21000,,,1,2022-11-27 18:12:23+00:00,16063034,0x4f99e28ff8c7b8bdc7cd9a5c0a791a81326e59d1240eb93e653d765560201a5f,13938940248.0,1650000000.0,2,10970085199
12086,12086,0x0fa5e97bed911287471ec7dccaf552337b8d6ea41ff2379a5d88b486c9bd05c0,423,46,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0x86cc3d5fb2b04674824ee3f19202edda1afb2253,0.0,125464,10496089169,0x,2369603,21000,,,1,2022-11-27 18:11:11+00:00,16063028,0x485a4ed09d3adf450411449b647179c55463e27fcf8fa97893576302e35b0bcb,13645536729.0,1650000000.0,2,10496089169
